,Size,Year,Title,Price,size*,multiplier*,base*,Edition,Left,Passage,Printed,filename,source filename,,,,,,,,
,20x10,2012,State of energy IV,680,1,10,1700,11,11,"Holding the line
Under splitting pressure
Of possible future",y,intraverses_01,10x20_16l_DSC_0361_rm_bra.jpg,,,,,,,,
,16x16,2022,Glass,136,1,2,1700,11,11,"What’s left behind,
On the road leading here
Is now just a soil
For whom shall follow",y,intraverses_02,16x16_composite-mirror_.jpg,,,,,,,,
,16x16,2022,Blues,272,1,4,1700,11,11,"One way mirror,
Shadows of the past;
Distorted presence.",y,intraverses_03,16x16_DSC8531-1_compositepsb_.jpg,,,,,,,,
,16x16,2022,Nostrum,510,2,5,1700,11,11,"Drowning slowly,
In the thoughts of days that past…
Through the vague and turbid air,
Her very self in outbursts of light and shadows.
Moment of clarity",y,intraverses_04,16x16_DSC9628-1__.jpg,,,,,,,,
,16x24,2021,Tempting darkness,680,3,5,1700,11,11,"Upside down
She lay trying to sense her own blood
Washing thoughts away
Tempting darkness",y,intraverses_05,16x24_DSC_2982_crop_FLAT_touchups.jpg,,,,,,,,
,24x16,2021,Dream of reason,680,3,5,1700,11,11,"Endless race
To gain a world
Just to give it up
With your name on it",y,intraverses_06,16x24_DSC_4816_lab_____.jpg,,,,,,,,
,24x16,2022,Depth,816,3,6,1700,11,11,"Down the path of only witness,
One that’s left, when your eyes
wide shut.",y,intraverses_07,16x24_DSC0584-1-composite.jpg,,,,,,,,
,16x24,2022,Smoke,408,3,3,1700,11,11,"Through veil of time,
In repeated lapses of acts of kindness,
Light prevails",y,intraverses_08,16x24_DSC1250-1_.jpg,,,,,,,,
,24x16,2022,Surface,680,3,5,1700,11,11,"Serene, within
The shadows of the thoughts.., watching
Sun, going through the body
Of it’s waters.",y,intraverses_09,16x24_DSC5917-1_.jpg,,,,,,,,
,20x20,2022,Faust,816,3,6,1700,11,11,"From the water we have came,
Into the water we shall go.",y,intraverses_10,20x20_1_DSC_0138_2022.jpg,,,,,,,,
,20x20,2022,Dream Catcher,952,3,7,1700,11,11,Dream catcher,y,intraverses_11,20x20_DSC1169-1_.jpg,,,,,,,,
,20x20,2022,Сradle,952,3,7,1700,11,11,"Within the life
She wanted to purse
The one
She is living",y,intraverses_12,20x20_DSC1528-1.jpg,,,,,,,,
,20x20,2021,Ticking ambiance,1224,3,9,1700,11,11,"There she laid,
Drowning her breath.
Ticking ambiance",y,intraverses_13,20x20_DSC7571.jpg,,,,,,,,
,20x20,2022,Legionary,952,3,7,1700,11,11,"Your thoughts disowned,
Each one of them striking waves
Of collective ego, punishing, for
The liberty of having them",y,intraverses_14,20x20_DSC9714-1_.jpg,,,,,,,,
